Unique,AgeEntry,PolicyTerm,SumAssured
A000766,27,1,8743362
A000767,25,20,4157867
A000768,24,10,4844922
A000769,53,20,8489087
A000770,34,10,4957405
A000771,41,10,4351093
A000772,67,30,2222924
A000773,22,1,2068831
A000774,58,5,570261
A000775,58,10,4336028
A000776,51,20,3910918
A000777,62,20,3733597
A000778,44,5,4608507
A000779,51,5,6220870
A000780,30,10,1443939
A000781,52,5,8511080
A000782,57,10,3354257
A000783,62,30,509462
A000784,52,20,6041773
A000785,19,20,5490787
A000786,43,30,5454243
A000787,35,1,4176336
A000788,23,5,1433598
A000789,66,20,9964513
A000790,43,1,1915092
A000791,30,30,188961
A000792,40,30,3055574
A000793,25,1,6526721
A000794,32,5,9486921
A000795,42,1,4647096
A000796,62,20,4931636
A000797,50,30,786564
A000798,25,10,3279753
A000799,45,5,5821663
A000800,52,5,2783793
A000801,51,30,8712026
A000802,53,5,8767053
A000803,37,1,3491050
A000804,26,10,2802397
A000805,24,5,1015580
A000806,21,10,5012026
A000807,52,30,1808362
A000808,25,10,3803625
A000809,65,1,5915937
A000810,40,20,6346403
A000811,69,20,8106057
A000812,47,20,9424945
A000813,69,30,7882912
A000814,69,20,9420841
A000815,25,1,2422075
A000816,50,30,6683312
A000817,44,10,9322221
A000818,67,10,3708373
A000819,65,5,6717060
A000820,42,10,9444159
A000821,61,30,6652420
A000822,20,30,5370084
A000823,54,5,759884
A000824,56,1,2473209
A000825,64,30,5576596
A000826,34,1,9036324
A000827,52,20,9802478
A000828,61,10,3212455
A000829,59,30,7076726
A000830,41,1,6368952
A000831,69,5,4287788
A000832,49,1,9821053
A000833,33,20,5176443
A000834,28,1,9019290
A000835,53,5,9695030
A000836,66,1,2807596
A000837,56,10,4294812
A000838,24,5,1977545
A000839,69,5,1006165
A000840,43,30,1895317
A000841,68,10,7039521
A000842,50,20,3371781
A000843,66,5,907225
A000844,25,5,5488329
A000845,37,30,4315818
A000846,30,20,9952300
A000847,25,30,4247194
A000848,46,30,1438543
A000849,49,10,3693690
A000850,47,10,8164744
A000851,22,20,2431976
A000852,59,30,7744540
A000853,56,1,8196577
A000854,48,30,5257704
A000855,32,5,2705174
A000856,29,5,1961189
A000857,52,5,1073835
A000858,44,5,8491702
A000859,24,30,2115067
A000860,30,10,4234891
A000861,54,30,9426721
A000862,29,1,1654943
A000863,61,5,2449924
A000864,41,20,509204
A000865,42,30,4505107
A000866,33,10,8095168
A000867,67,5,115300
A000868,26,10,9820918
A000869,52,5,7304529
A000870,36,5,802260
A000871,47,5,7648173
A000872,53,30,8140832
A000873,56,10,4132619
A000874,24,1,4261701
A000875,32,30,4467018
A000876,65,20,2789359
A000877,37,20,8395607
A000878,64,30,1430796
A000879,59,5,50130
A000880,51,30,1787550
A000881,38,20,475692
A000882,60,30,9512825
A000883,47,20,931762
A000884,31,20,3231670
A000885,36,1,776697
A000886,52,20,5676039
A000887,24,30,5125104
A000888,54,10,225526
A000889,24,20,6898641
A000890,56,5,1343553
A000891,40,10,5225911
A000892,23,10,6289849
A000893,35,10,7970754
A000894,67,5,3655011
A000895,67,30,6103846
A000896,36,10,8963168
A000897,36,20,2427934
A000898,50,30,6042230
A000899,21,5,5960696
A000900,69,30,4541765
A000901,67,1,3164894
A000902,45,10,8841147
A000903,33,10,9997048
A000904,30,1,3425757
A000905,64,30,7213950
A000906,59,1,2724969
A000907,69,10,8885098
A000908,30,5,3170702
A000909,50,5,4125116
A000910,26,1,5948581
A000911,67,10,4239766
A000912,48,10,810294
A000913,48,1,2173423
A000914,60,1,2585784
A000915,42,5,4148812
A000916,62,5,9036733
A000917,46,30,5368001
A000918,64,10,2968717
A000919,59,30,3778373
A000920,34,10,7412819
A000921,32,10,2389764
A000922,50,5,8406578
A000923,52,10,2771384
A000924,51,5,6872366
A000925,54,30,2637124
A000926,60,10,7251488
A000927,45,30,5071652
A000928,54,10,2405238
A000929,40,20,1557072
A000930,41,30,4458193
A000931,25,30,7595953
A000932,69,1,5200195
A000933,49,20,2874698
A000934,64,30,7356353
A000935,46,30,994380
A000936,35,5,8403644
A000937,20,5,726749
A000938,25,5,5086349
A000939,27,5,9156634
A000940,29,1,9496416
A000941,49,5,1191208
A000942,32,10,3628534
A000943,52,10,9119369
A000944,27,30,996600
A000945,59,10,4477254
A000946,63,1,4371591
A000947,60,20,1330946
A000948,43,20,5895105
A000949,49,20,2549953
A000950,46,20,6009067
A000951,63,30,1332616
A000952,42,20,9154840
A000953,28,30,9457196
A000954,45,20,9133161
A000955,58,10,1371489
A000956,32,20,8173417
A000957,55,20,7933862
A000958,30,20,1788753
A000959,37,5,1269047
A000960,22,1,9553893
A000961,64,1,5303894
A000962,48,5,7857310
A000963,32,20,5329297
A000964,38,20,2547543
A000965,38,30,7671467
A000966,46,20,9189092
A000967,31,5,4437194
A000968,21,1,813160
A000969,31,1,3716389
A000970,20,10,445926
A000971,41,30,4677381
A000972,67,5,1878991
A000973,65,20,7331463
A000974,46,10,7797088
A000975,59,30,7978559
A000976,55,1,1130165
A000977,40,10,6172198
A000978,57,20,5021465
A000979,26,30,9963661
A000980,63,30,2693443
A000981,43,20,7162957
A000982,57,5,882145
A000983,50,20,8446852
A000984,30,10,4028553
A000985,40,1,1195012
A000986,68,10,8655755
A000987,44,30,8403511
A000988,28,1,4812368
A000989,69,20,6262419
A000990,69,5,871861
A000991,49,30,3668206
A000992,39,20,7645280
A000993,62,30,9898233
A000994,49,10,3677182
A000995,34,1,2402132
A000996,23,20,5289396
A000997,50,10,5868425
A000998,22,5,3878177
A000999,29,1,6698544
A001000,39,1,4731600
A001001,53,30,6792000
A001002,52,5,5212655
A001003,21,20,4448659
A001004,52,10,8849172
A001005,62,10,5501260
A001006,51,5,9051081
A001007,51,20,4645347
A001008,64,20,1219394
A001009,36,30,9893730
A001010,54,10,8615215
A001011,31,10,4074299
A001012,61,30,4785835
A001013,27,5,1593572
A001014,42,20,7879804
A001015,47,5,87109
A001016,45,20,1409225
A001017,56,20,9761707
A001018,38,10,9445811
A001019,32,1,4223176
A001020,55,10,9324996
A001021,50,20,9333120
A001022,25,20,7931399
A001023,34,1,5381838
A001024,33,10,5948607
A001025,63,1,921289
A001026,58,5,4616426
A001027,30,30,4445658
A001028,59,20,6244714
A001029,39,10,5722428
A001030,47,5,8201516
A001031,47,5,3216324
A001032,22,1,2965221
A001033,46,10,5776742
A001034,23,30,5747592
A001035,26,1,2524257
A001036,26,5,2474885
A001037,53,30,9477709
A001038,32,1,4439629
A001039,56,5,4664346
A001040,64,5,7829942
A001041,30,5,7698207
A001042,49,5,7300817
A001043,63,20,4714343
A001044,37,30,4905125
A001045,51,10,3369992
A001046,38,30,5901525
A001047,35,10,8673267
A001048,29,30,9715141
A001049,35,1,5438055
A001050,20,20,3282808
A001051,69,30,8439937
A001052,44,30,2505810
A001053,64,5,4085354
A001054,34,20,7450045
A001055,31,10,2378636
A001056,58,30,3571526
A001057,27,20,1669795
A001058,36,10,8975181
A001059,20,1,5258000
A001060,54,30,9195353
A001061,55,5,2600344
A001062,60,10,7656119
A001063,43,1,1901739
A001064,36,30,3532479
A001065,33,1,3641546
A001066,62,10,6160340
A001067,54,30,6299122
A001068,21,5,1784031
A001069,20,5,3351305
A001070,19,1,7814020
A001071,53,20,4721304
A001072,27,20,9498852
A001073,20,30,7001365
A001074,24,20,3200798
A001075,50,5,2452105
A001076,58,30,3134694
A001077,42,10,4246777
A001078,41,1,3092559
A001079,53,20,1788110
A001080,54,30,2290519
A001081,23,30,9469118
A001082,43,30,8912840
A001083,26,1,4766355
A001084,46,1,5188813
A001085,64,20,7078872
A001086,22,1,9903585
A001087,46,1,9634593
A001088,26,20,755056
A001089,20,1,717469
A001090,45,30,7898493
A001091,31,1,1193653
A001092,62,30,8486542
A001093,28,30,7244871
A001094,29,10,7174800
A001095,62,10,4135029
A001096,41,20,2318491
A001097,28,5,6395554
A001098,58,30,2047955
A001099,45,5,3929610
A001100,35,5,6808702
A001101,39,10,5505469
A001102,56,10,4880478
A001103,24,1,9601380
A001104,66,30,3532867
A001105,64,20,204279
A001106,44,1,3836655
A001107,48,5,6118335
A001108,67,1,7875953
A001109,36,1,2460756
A001110,26,30,7912247
A001111,66,1,9079124
A001112,24,1,4021670
A001113,33,10,2551768
A001114,32,20,4904870
A001115,28,1,3055813
A001116,21,5,9106348
A001117,26,10,61911
A001118,49,10,4727192
A001119,65,10,1345091
A001120,26,1,8692766
A001121,52,30,8673932
A001122,37,30,3856924
A001123,58,30,7122373
A001124,58,20,9991965
A001125,19,5,7730774
A001126,48,20,8608173
A001127,60,1,1085223
A001128,50,20,819545
A001129,62,20,5939705
A001130,25,10,3816878
A001131,31,30,7541776
A001132,53,5,9370927
A001133,58,30,4262808
A001134,50,30,1565729
A001135,36,5,9675201
A001136,57,1,9114332
A001137,41,1,4529103
A001138,43,1,4428381
A001139,46,30,4346720
A001140,51,20,4203136
A001141,58,30,6981907
A001142,42,20,7043714
A001143,32,20,6426119
A001144,39,5,7502720
A001145,49,30,6687469
A001146,67,5,2552825
A001147,59,1,7162526
A001148,47,20,3753260
A001149,45,5,9368028
A001150,60,20,5068605
A001151,20,20,4608140
A001152,39,5,5242474
A001153,50,1,3602482
A001154,41,1,9854931
A001155,28,30,4143194
A001156,38,20,7077739
A001157,35,30,7346251
A001158,21,1,260055
A001159,21,10,4636770
A001160,69,10,3632555
A001161,66,1,3058623
A001162,26,30,1453510
A001163,24,30,2412783
A001164,24,30,9486257
A001165,55,1,6393774
A001166,65,1,1307994
A001167,49,5,6488330
A001168,53,20,9584064
A001169,49,1,4538124
A001170,51,1,3254589
